person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1992-93,,1993-01-03T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Defensive Player of the Year,,1991-92,,,,Award,Kia Motors,KDPYR,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,11/01/1989,,,Award,Kia Motors,KIRMO,
764,David,Robinson,San Antonio Spurs,NBA Sportsmanship,,2000-01,,,,Award,Kia Motors,KSPRT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1994-95,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1992-93,,1992-11-29T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Most Valuable Player,,1994-95,,,,Award,Kia Motors,KIMVP,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,03/01/1990,,,Award,Kia Motors,KIRMO,
764,David,Robinson,USA,Olympic Gold Medal,,1992,,,,Award,Olympic,Gold,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-03-25T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1995-96,03/01/1996,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1993-94,,1994-02-06T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1997-98,,1997-12-28T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1995-96,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,,Hall of Fame Inductee,,2009,,,,Award,Hall of Fame,,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1995-96,,1996-01-14T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1990-91,01/01/1991,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1993-94,,1994-04-24T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,USA,Olympic Gold Medal,,1996,,,,Award,Olympic,Gold,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1990-91,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,2000-01,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1993-94,,1993-12-05T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1993-94,,1994-02-20T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1993-94,02/01/1994,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1991-92,,,1610612759,Award,Kia Motors,KIANT,
